created_at,user.screen_name,lang,text,sentiment
Wed Dec 11 22:08:58 +0000 2019,chooseSJC,en,"Pneumonia can be arise from the #flu, but the two are different. Flu is caused by the #influenza virus while… https://t.co/xAFTTGafVI",neutral
Wed Dec 11 22:05:01 +0000 2019,medpagetoday,en,"#Flu season is off to an early start with 1.7 million cases, 16,000 hospitalizations, and 910 flu-related deaths. B… https://t.co/HEQYgYaCXY",positive
Wed Dec 11 22:03:46 +0000 2019,KelliButlerAZ,en,"Finally made time to get my #flu shot this year! If you haven’t yet, be sure to get yours soon! #VaccinesWork… https://t.co/cMG5jvle0A",positive
Wed Dec 11 22:01:25 +0000 2019,docweighsin,en,Here is information and stats from the CDC and elsewhere to help answer many of the questions you may have about th… https://t.co/eg621xSgZ9,positive
Wed Dec 11 21:56:10 +0000 2019,KWimerAuthor,en,I have the #flu or the #zombie #plague. I may be #patient #Zero. But on the bright side I'm #working on a new #book… https://t.co/Va5RjD0mPc,positive
Wed Dec 11 21:56:06 +0000 2019,BenWritesStuff,en,"Hope you all are having an awesome evening 😁

#me #selfie #gpoy #beard #bearded #beardedboy #beardedman… https://t.co/t46ijgLt5l",positive
Wed Dec 11 21:52:19 +0000 2019,_Mark_Bamford,en,@OwenPaterson good luck for tomorrow.  Sorry I couldn’t help out on the ground this year #flu,positive
Wed Dec 11 21:51:27 +0000 2019,ChonnieRichey,en,How do we keep from getting the #flu bug?!?  Dog ears of course... #messyhairdontcare #momlife #disinfecteverything… https://t.co/xpYmM34dux,neutral
Wed Dec 11 21:49:00 +0000 2019,MDAndersonNews,en,#Flu season is here. Help prevent its spread and protect cancer patients with these tips. #endcancer https://t.co/HuBoS1NNZ9,neutral
Wed Dec 11 21:45:05 +0000 2019,CMI_Compas,en,The flu may be peaking early in the US this year reports the @CDCgov. @CDCFlu #flu https://t.co/R6Ti8LrYzf,positive
Wed Dec 11 21:37:22 +0000 2019,aldoceccarelli,en,#LarryPage is quietly funding efforts to develop a universal #flu #vaccine https://t.co/vvSBiSsw9f,neutral
Wed Dec 11 21:23:31 +0000 2019,clinical_cc,en,#Flu season is hitting early and an outbreak at the #workplace could be detrimental to productivity! Be sure your… https://t.co/CQ1JrPgwA9,positive
Wed Dec 11 21:22:36 +0000 2019,CIDRAP,en,NEWS SCAN: Combination #flu treatment; Northern Hemisphere flu rise; UK #avianflu outbreak https://t.co/Qj6cG7oXHL #influenza,neutral
Wed Dec 11 21:19:03 +0000 2019,ClaudiaNichols,en,"""#Flu is certainly not the “emperor of all maladies” as cancer was described by the oncologist Siddhartha Mukherjee… https://t.co/3HZKLnTaua",negative
Wed Dec 11 21:11:12 +0000 2019,WendyCoronaWSB,en,Georgia now has its first #flu death of the season. We learned the person was over the age of 65. @wsbtv at 4p,positive
Wed Dec 11 21:09:16 +0000 2019,SherryA43922906,en,#US #immigration officials bar doctors from giving #flu shots to detained #kids https://t.co/cJmgld3hVT via @yahooNewsUK,neutral
Wed Dec 11 21:07:30 +0000 2019,MetalRabbit13,en,#Doctors protest border officials' [#CBP/#DHS] ongoing refusal to give detained #kids and #families #flushots… https://t.co/Fo5x29ZKIU,neutral
Wed Dec 11 21:06:51 +0000 2019,ParTNerHealthTN,en,"Remember - it's NOT too late to get a #flu shot! ParTNers for Health members, find out your options for a FREE flu… https://t.co/4Tk5SOAcjY",positive
Wed Dec 11 21:03:00 +0000 2019,Medscape,en,"#Flu season has started earlier, and it's worse than last year. https://t.co/1pw13gqTOE",negative
Wed Dec 11 20:52:31 +0000 2019,GOrlandoPrende1,en,"Fighting this #flu people, I won’t claim it so although I feel like I was in a #UFC fight, I’m still doing what I d… https://t.co/VnbB9rNJDR",neutral
Wed Dec 11 20:50:54 +0000 2019,Shuffla_Music,en,"As someone who hardly gets ill, other than Christmas and New Year, I hate winter. Not being able to sleep last nigh… https://t.co/1hVC4ozIQw",negative
Wed Dec 11 20:41:02 +0000 2019,CDCFlu,en,CDC is constantly looking at data to inform vaccine recommendations. A recent study reviews data on children’s immu… https://t.co/oq7rGBqtN5,neutral
Wed Dec 11 20:37:11 +0000 2019,EandMDiscounts,en,"Flu season is here and with the holidays approaching, eating healthy can be tough. We put together the Top 10 Winte… https://t.co/pLaNVUOo9u",positive
Wed Dec 11 20:35:40 +0000 2019,charliemasala1,en,"#Flu or No Flu,  I had to go bury Ps Neyi Zimu earlier today at a moving home-going session.  #Spent all day in Kib… https://t.co/YErzqoQko1",negative
Wed Dec 11 20:35:10 +0000 2019,UCIrvineHealth,en,"#FluShots are still the best way to help prevent the #flu.
https://t.co/yWsy3a9wkU #FluVaccination",positive
Wed Dec 11 20:35:10 +0000 2019,ATS_PITB,en,Only a subpopulation of bacteria can complex with flu. #flu,negative
Wed Dec 11 20:35:06 +0000 2019,VAButlerPA,en,Don’t let #flu stop you from spending time with loved ones this holiday season. Get your flu shot today! https://t.co/mvKxVos5r6,positive
Wed Dec 11 20:35:06 +0000 2019,SterileSpace,en,5 Places In Your Office That Are #Flu and #Germ Magnets https://t.co/P7Q41kf0dZ,neutral
Wed Dec 11 20:31:26 +0000 2019,Rutgers_NJMS,en,"Flu season is officially upon us! 
If you haven't already, get your #flu shot immediately.

Here are some FAQs from… https://t.co/kYVdKW3yhb",neutral
Wed Dec 11 20:31:03 +0000 2019,ATS_PITB,en,Be sure to send your question! #flu,positive
Wed Dec 11 20:31:03 +0000 2019,ATS_PITB,en,Be sure to send your question! #flu,positive
Wed Dec 11 20:30:40 +0000 2019,ATS_PITB,en,Staph can bind to Detroit 562 epi cells and is higher with viral-staph complex. #flu https://t.co/6T7eOoS3HY,negative
Wed Dec 11 20:22:35 +0000 2019,ATS_PITB,en,Not that the model has high variability when recovering bacteria from ears. #flu,positive
Wed Dec 11 20:21:53 +0000 2019,ATS_PITB,en,Pre-complex of flu-pneumococcus increases bacterial burden. #flu https://t.co/GDKPodETQy,negative
Wed Dec 11 20:20:21 +0000 2019,ImperialNHS,en,Is the #flu vaccine safe for pregnant women? Professor @wendybarclay11 of @ImperialInfect explains the facts… https://t.co/k32xYqE97v,positive
Wed Dec 11 20:17:49 +0000 2019,30seconds,en,Feeling lousy? Check out these 4 telltale signs that it’s the flu. @AANP_NEWS #30Seconds #flu #coldandfluseason… https://t.co/D2laxtfbx5,negative
Wed Dec 11 20:17:10 +0000 2019,ATS_PITB,en,It seems to be a sub-serotype of pneumococcus that bonds flu. #flu https://t.co/nzCKrLeOLA,neutral
Wed Dec 11 20:15:35 +0000 2019,ATS_PITB,en,Interaction of pneumococcus with flu on an individual pneumococcus.  #flu https://t.co/oV0THA6zqb,neutral
Wed Dec 11 20:15:10 +0000 2019,SinuSalt,en,Eating plenty of fresh fruits and vegetables can help support your immune system. Giving your body a better chance… https://t.co/Hcky0rpr2c,positive
Wed Dec 11 20:15:07 +0000 2019,MonadnockHosp,en,Don’t skip your #flu vaccine. Watch this video to find out why: https://t.co/nTnfLYS4Qg,neutral
Wed Dec 11 20:13:59 +0000 2019,ATS_PITB,en,The interaction with pneumococcus is not only H1N1 dependent. #flu,neutral
Wed Dec 11 20:12:27 +0000 2019,ATS_PITB,en,"Fig 1 shows the co-sediment of Pneumococcus and flu. It seems to interact with cell surface of the bacteria, but no… https://t.co/Qqogn5BrmA",neutral
Wed Dec 11 20:09:43 +0000 2019,ATS_PITB,en,flu-pneumococcus interaction associates in-vivo and may be in a biofilm. #flu,neutral
Wed Dec 11 20:08:29 +0000 2019,ATS_PITB,en,RSV-pneumococcal interactions are known to interact. #flu,neutral
Wed Dec 11 20:07:53 +0000 2019,ATS_PITB,en,Can flu-pneumococcus interact in a synergistic manner to lead to infection? These interactions happen in the GI system. #flu,neutral
Wed Dec 11 20:06:21 +0000 2019,ATS_PITB,en,"At-Risk is young, old and immunocompromised and is deadly. #flu",neutral
Wed Dec 11 20:05:29 +0000 2019,ATS_PITB,en,"Pneumococcal bacteria can range from colonization to invasive infection, how does this happen? #flu",neutral
Wed Dec 11 20:05:03 +0000 2019,BCPFT,en,"🗓Eleven weeks. 
💉Over 1000 vaccinated members of staff. 💷Two prize draw winners for October and November.
Our fearl… https://t.co/d3jSCbkINW",neutral
Wed Dec 11 20:04:50 +0000 2019,derm90210,en,"Skip the #flu this season and get vaccinated! In our #DecemberBlog, learn how important #vaccines are! Visit… https://t.co/BehKtq7ZJD",positive
Wed Dec 11 20:01:54 +0000 2019,CintasClean,en,"#WOWFactorWednesday: A universal #flu vaccine is in testing stages. If it succeeds, the shot will be more effective… https://t.co/YFbrg8q8Xg",positive
Wed Dec 11 20:01:33 +0000 2019,hivguidelines,en,"#Flu or acute #HIV? 😷 Understand the difference with this pocket guide.

Download: https://t.co/gZsL8KWv8e https://t.co/hQBDiAO88A",positive
Wed Dec 11 20:01:02 +0000 2019,dallas100NCBW,en,"Hope this finds you in perfect #health... 
But watch out for the #flu!
 
#2020flu # Fluseason #behealthy… https://t.co/KBTHq2ZCkW",positive
Wed Dec 11 20:00:34 +0000 2019,SeaMarCHC,en,Can you separate myth from fact when it comes to the #flu? @WADeptHealth lists five shocking myths many people mist… https://t.co/CTecSn9wAT,negative
Wed Dec 11 20:00:33 +0000 2019,FightFluDorset,en,If you haven't had the flu jab yet... read this short story from @DorsetHealth staff member Anne - she always gets… https://t.co/Y4wMinMn3R,neutral
Wed Dec 11 19:55:25 +0000 2019,providence_phc,en,Helping our patients and your loved ones get well is our top priority. That's why we are implementing visitor restr… https://t.co/0StPLfKHTy,positive
Wed Dec 11 19:52:53 +0000 2019,ATS_PITB,en,Today's JC will be tweeted live. Follow along and use #flu for questions or comments. Register at https://t.co/3WywdT9lzN,positive
Wed Dec 11 19:52:29 +0000 2019,MJqqq,en,#Flu shots 2 reasons; to protect the population and to achieve a sufficient vaccination rate to protect the people… https://t.co/hAurJVjEyD,neutral
Wed Dec 11 19:47:41 +0000 2019,QuidelDX,en,"Register now for our #webinar ""Outpatient Influenza A Cases: An Early Warning Sign for Hospital Influenza Activity""… https://t.co/esiQlyGThr",positive
Wed Dec 11 19:45:00 +0000 2019,WomensMedicine,en,"The @CDC says flu season has started early, and it could be a sign of a bad season. https://t.co/45TirMlvF7 #health #flu",negative
Wed Dec 11 19:44:54 +0000 2019,CoMo_HealthDept,en,It takes 2 weeks after flu vaccination for antibodies to develop in the body &amp; provide protection against #flu. Wit… https://t.co/xmu9x0UevK,neutral
Wed Dec 11 19:37:16 +0000 2019,HRSAgov,en,Need some #WednesdayMotivation? How about avoiding the #flu this #holidayseason? Be better prepared to fight it by… https://t.co/PilxjwVQ1u,positive
Wed Dec 11 19:27:16 +0000 2019,Puckster1955,en,"@Alyssa_Milano Immunize them
#Immunizatoin
#flu 
#vaccination 
#ImmigrantRights",neutral
Wed Dec 11 19:21:30 +0000 2019,LotusOak2,en,#STUDY: Vaccinating #Pregnant Women Didn't Reduce Risk for #Flu or #Pneumonia for Moms &amp; Babies… https://t.co/uLHD3n9uq2,positive
Wed Dec 11 19:20:05 +0000 2019,SMCHD_gov,en,"Think you have the #flu? If you are sick, stay home for at least 24 hours AFTER your fever is gone, without the use… https://t.co/Ir6hokmLZO",negative
Wed Dec 11 19:20:04 +0000 2019,MOHealthCare,en,Getting a #flu vaccine isn’t just about keeping you healthy; it’s also about helping to protect everyone around you… https://t.co/zxajdnkKyu,positive
Wed Dec 11 19:11:10 +0000 2019,mushedroom,en,"Things you see at the doctor's office... 😳
Ugh so sick of this flu...
#flu #sick https://t.co/3aFrXLcqIu",negative
Wed Dec 11 18:58:11 +0000 2019,MarcelonFOX7,en,"FLU SEASON - It's not too late to get your #flu shot 
@CDCgov reports 1.7 million flu-related illnesses in past two… https://t.co/ECJ9J9BSjR",negative
Wed Dec 11 18:48:55 +0000 2019,HyperHygiene,en,‘The pandemic clock is ticking’: A race against time for a universal flu vaccine https://t.co/sZcUdhUPzu via… https://t.co/CLJXmZIkOV,neutral
Wed Dec 11 18:42:03 +0000 2019,ProHEALTHAssoc,en,"ProHEALTH's Dr. Daniel Griffin, who is Board Certified in Internal Medicine and Infectious Diseases, was quoted in… https://t.co/b14pJ5ikoM",neutral
Wed Dec 11 18:41:47 +0000 2019,mi3_jules,en,Deadly flu has already killed 2K this year: Here's what you need to know - AOL https://t.co/evZLVk8le5 via @GoogleNews #Health #Flu,negative
Wed Dec 11 18:38:03 +0000 2019,TwistBioscience,en,Brush up on your #flu #vaccine knowledge to help you educate doubters at your next dinner party or family event. https://t.co/Ic9eh40FAJ,neutral
Wed Dec 11 18:36:00 +0000 2019,CherryHealthMI,en,All patients who get a #Flu shot between now and December 31 will have an opportunity to win a gift card thanks to… https://t.co/0Y6QMiSktT,positive
Wed Dec 11 18:35:54 +0000 2019,SalemHanna,en,@WeAreLambily Enjoy and share! The British hospital tribute to #AllIWantForChristmasIsYou  #lambily #NHS #funny… https://t.co/O1Kw4AufOZ,positive
Wed Dec 11 18:31:13 +0000 2019,edrormba,en,"#Flu Season Might Soon Pass, for Good  #Israel  https://t.co/kK8rFN01GT https://t.co/OZSL7bxYwI",positive
Wed Dec 11 18:30:05 +0000 2019,PriviaHealth,en,"2019 is almost over, but #flu season isn't. Here are seven tips for private practices to align and compete with imm… https://t.co/vCwI1cY9NM",neutral
Wed Dec 11 18:19:04 +0000 2019,SecAzar,en,Getting a #flu vaccine is the best thing you can do to protect yourself and your family this flu season.… https://t.co/0QNbgcvA5I,positive
Wed Dec 11 18:13:33 +0000 2019,RDaSH_IPCTeam,en,"@rachel_millard2 And a lolly...... on a serious note you will be protecting yourself, your patients, your colleague… https://t.co/eVKByJ5hdg",negative
Wed Dec 11 18:12:04 +0000 2019,beatflu,en,#Flu is now circulating in Wales but it’s not too late to get your flu vaccine! It’s the best protection against ca… https://t.co/JdI1e7YXC0,positive
Wed Dec 11 18:11:01 +0000 2019,MedialEarlySign,en,"#Flu season has kicked off to an early start, but the @CDCgov says there's still plenty of time to get your… https://t.co/niB8j8hBJd",positive
Wed Dec 11 18:05:05 +0000 2019,SCCHealth,en,The weekly #StCharlesCounty flu report provides a look at influenza illness activity in our community during the 20… https://t.co/lcz1Gj5ric,neutral
Wed Dec 11 18:02:15 +0000 2019,ELHT_NHS,en,#Flu can lead to serious complications such as #pneumonia! This can be deadly for people living with long-term cond… https://t.co/W59nGQfcW3,negative
Wed Dec 11 18:02:04 +0000 2019,VABayPines,en,It’s National Flu Vaccination Week: get a #flu shot to protect yourself and those around you. https://t.co/kLFM2DNv4i,neutral
Wed Dec 11 18:01:51 +0000 2019,FanSimenona,en,"Happy Wednesday. 

Gotta lay down... #flu",positive
Wed Dec 11 17:56:11 +0000 2019,iamJoeyshinobi,en,"Aren’t you glad you didn’t marry this ball of flu? I feel bad for my wife. Also, that’s a halls sore throat sucker.… https://t.co/dcDZKFNdhM",negative
Wed Dec 11 17:55:03 +0000 2019,CDCFlu,en,#Flu season has started in parts of the country but it’s not too late to get a #fluvaccine. If you get flu symptoms… https://t.co/HQ8sTBkl00,negative
Wed Dec 11 17:46:53 +0000 2019,NocospraySystem,en,Glad we are working with hospitals to help protect patients and staff. #flu #Nocospray #HAI #infectioncontrol… https://t.co/vzN019cN02,positive
Wed Dec 11 17:46:27 +0000 2019,BenitaZahn,en,#Flu season is here. It's not too late to get vaccinated. Flu shots are free for people with #Medicare,positive
Wed Dec 11 17:45:15 +0000 2019,NHSNlandCCG,en,Spread festive cheer not #flu. Speak to your GP or pharmacist about your #flujab today. https://t.co/ID31AuTU0e,neutral
Wed Dec 11 17:44:58 +0000 2019,BC_PubHealth,en,"Expecting? As part of your prenatal care, your doctor recommends getting a #flu shot anytime during your pregnancy.… https://t.co/BvOx6PS1dg",neutral
Wed Dec 11 17:42:29 +0000 2019,vonnieparkes,en,"#Flu is circulating in our area. If you, or someone you care for, is eligible for the #vaccine contact your GP prac… https://t.co/WfAnbgV8gZ",neutral
Wed Dec 11 17:30:37 +0000 2019,lafppresident,en,"As family and friends gather for the holidays, #flu activity is increasing. Your patients may have many questions a… https://t.co/UJ5ttlhZVG",positive
Wed Dec 11 17:30:02 +0000 2019,Chris_Ciano,en,"#Flu shots are available seven days a week, with no appointment necessary at CVS Pharmacy and #MinuteClinic locatio… https://t.co/qv5dF7Xqmz",positive
Wed Dec 11 17:27:06 +0000 2019,jonahelshout,en,"#Israeli Researchers Develop Universal #Flu #Vaccine.

Having a facility for manufacturing influenza vaccinations h… https://t.co/bWnQpwPDn8",neutral
Wed Dec 11 17:25:21 +0000 2019,BioReference,en,Stop the spread of germs to help protect your loved ones from the #flu this season. Click for more prevention tips… https://t.co/blq38HJlCZ,positive
Wed Dec 11 17:24:40 +0000 2019,SharonUrquhart8,en,Fred The Flu Fighting Koala Bear is looking forward to meeting all the boys and girls @stfrancisoa and… https://t.co/UK8Y9ttksz,neutral
Wed Dec 11 17:22:48 +0000 2019,UNC_Health_Care,en,Here are some tips from #UNCHealthTalk for reducing your risk of getting the #flu and how to prevent spreading it i… https://t.co/Gq9vH3TzNx,neutral
Wed Dec 11 17:21:00 +0000 2019,CheckYourFoods,en,"#Blog - Boost Your Immune System
The flu is all around us... know what foods to eat to protect yourself!… https://t.co/6rUrKpEoxh",neutral
Wed Dec 11 17:15:00 +0000 2019,rightathomeUS,en,Get your #flu shot before holiday gatherings to protect your senior loved ones! https://t.co/BJs8TErsGo https://t.co/jAX8Y8aMhy,positive
Wed Dec 11 17:13:04 +0000 2019,MdAtlPermanente,en,"Here’s what doctors want you to know about over-the-counter cold and #flu medication for your child this winter, vi… https://t.co/B273hHY1G8",negative
Wed Dec 11 17:10:09 +0000 2019,DHCS_CA,en,The #flu vaccine is the best way to protect against the flu. It’s not too late to vaccinate! #FightFlu—find a… https://t.co/YjWYJYsFm0,positive
Wed Dec 11 17:10:04 +0000 2019,AtlanticUVCorp,en,SANITAIRE Ultraviolet Room Air Sanitizers Offer Extra Protection During Flu Season and Year-Round… https://t.co/5SlUFLL7Cf,negative
Wed Dec 11 17:09:05 +0000 2019,LACareHealth,en,Its not too late! Get a #flu vaccine to help protect yourself from flu. #FightFlu! #ElevatingHealthcare… https://t.co/ThbQv6LotM,negative
Wed Dec 11 17:05:33 +0000 2019,JOCOHealth,en,Get protected before you travel. We are open in Olathe until 6 p.m. on Wednesdays for #flu shots.… https://t.co/Ix8JVb6QP6,neutral
Wed Dec 11 17:02:46 +0000 2019,DTVandewater,en,"#Flu cases are on the rise across the country with 16 states reported widespread flu activity, according to the CDC… https://t.co/ABiNrYjDv1",neutral
Wed Dec 11 17:02:40 +0000 2019,HrfyRemedies,en,"HRFY #REMEDY #RECIPES: Homemade Cough Medicine 🥄 https://t.co/2gI6WP8fAb
.
.
.
#remedy #naturalremedy #natural… https://t.co/KellAFvoS6",positive
Wed Dec 11 16:57:44 +0000 2019,MoptuTech,en,Israeli Researchers Develop Universal Flu Vaccine https://t.co/JyVMnGxIzx #FluSeason #Health #HealthTech #Israel… https://t.co/duzq8DtZfh,neutral
Wed Dec 11 16:56:08 +0000 2019,mohnerha,en,"It's the time of year when we are all at risk of being infected with the flu. Yes, even Health Workers! Take action… https://t.co/Y4fTqncdlQ",positive
Wed Dec 11 16:54:43 +0000 2019,OntarioLung,en,Why are we at Queen's Park for our annual lobby day? Because there are so many potential #immunization innovations… https://t.co/JujrYTJImU,positive
Wed Dec 11 16:52:30 +0000 2019,JGPharmD,en,#Flu is coming on strong and early this year. Reference: @CDCFlu https://t.co/BjVzYEXiWQ,positive
Wed Dec 11 16:48:10 +0000 2019,Imperialpeople,en,Have you seen our video series with @ImperialMed @ImperialNHLI @ImperialAHSC? #flu experts Prof Openshaw and Prof B… https://t.co/9O9wQrmGUc,neutral
Wed Dec 11 16:43:01 +0000 2019,So_Pines,en,"It's starting to look a lot like #Winter! ❄️🤧 With #Winter comes snow, cozy meals and unfortunately the #Flu. Check… https://t.co/600Ymcxd1I",negative
Wed Dec 11 16:41:00 +0000 2019,MedcorCanada,en,"#WellnessWednesday People in the U.S. suffer from more than one billion colds a year, and there were about 40 milli… https://t.co/gM1bbnXeyj",positive
Wed Dec 11 16:38:59 +0000 2019,MassDental,en,"Visit https://t.co/pHl2bXictE for tips on how to prevent the spread of the #flu and keep your mouth healthy, too! https://t.co/YSZkAUzDwx",positive
Wed Dec 11 16:38:53 +0000 2019,SilenceNotGold,en,"#Flu Shots Risk Your Life for No Good Reason, Risks &amp; Facts Concealed by Drug Industrialists by Dr. Leonard G. Horo… https://t.co/apf3sdCPUZ",negative
Wed Dec 11 16:30:53 +0000 2019,Tat2dtrle,en,Appointment in town this morning. The #flu is out and about. One pediatric death in our county already. 😞 So I hate… https://t.co/ufxtSQoekM,negative
Wed Dec 11 16:29:25 +0000 2019,connieptimmins,en,Went to visit one of @NHSBSWCCG GP practices today and loved their children’s flu clinic they did!! So fun!… https://t.co/D74k7sgc21,positive
Wed Dec 11 16:27:50 +0000 2019,LotusOak2,en,"Latest #flu #vaccine failing against current strain, #CDC reports 

https://t.co/5urnyQV0J3 via @abc7

#WakeUpAmerica #FluShot",positive
Wed Dec 11 16:24:00 +0000 2019,KnowYourDose,en,Your patients may treat their cold and #flu symptoms with OTC medicines that contain acetaminophen. Download our fr… https://t.co/rLaJHpOg8u,negative
Wed Dec 11 16:23:15 +0000 2019,LotusOak2,en,"This year's #FluVaccine ""failed miserably"" according to the CDC due to a current #Flu strain that showed up halfway… https://t.co/Evsi8lNfjF",negative
Wed Dec 11 16:22:05 +0000 2019,RachelRabbbit,en,"Don't forget to get your flu shots. The flu isn't a joke, it can kill. #flu #FluShot #VaccinesWork https://t.co/xdRsCOMHl6",neutral
Wed Dec 11 16:19:44 +0000 2019,mhyzzkiwicutie,en,I rebuke you! #flu,neutral
Wed Dec 11 16:17:41 +0000 2019,Shh_Sean,en,How about that! Unlucky me 😷🤧 #flu #fluseason https://t.co/gYhobjarnT,neutral
Wed Dec 11 16:10:10 +0000 2019,TXTechnologies,en,"New blog post about the ways we can help cleanup and prevent the spread of germs during cold and #flu season.  
https://t.co/0fqhubm2JH",negative
Wed Dec 11 16:10:08 +0000 2019,NECSInc,en,Did you know that #norovirus a.k.a 'the stomach flu virus' is just as common as the #flu virus? Check out our blog… https://t.co/iVtMA8achq,negative
Wed Dec 11 16:09:28 +0000 2019,CorporateFS,en,Five ways to avoid the flu that you may not have thought of before.  🤔 #health #clean #flu https://t.co/TekbLKvDou https://t.co/tMiySXsbJZ,positive
Wed Dec 11 16:05:39 +0000 2019,CaringInfo,en,"“Our government...is basically saying some people’s lives are worth more than others, and it’s OK for #children to… https://t.co/HI1n06kU6f",positive
Wed Dec 11 16:04:12 +0000 2019,NoraCutcliffe,en,"Compelling new data @CFP_Pharmacy confirm clout of Cdn #Pharmacists:

3.2 Million #flu shots given in 2018/19 (↑ 9%… https://t.co/ZkeDueipWs",positive
Wed Dec 11 16:03:05 +0000 2019,Medcor,en,"#WellnessWednesday People in the U.S. suffer from more than one billion colds a year, and there were about 40 milli… https://t.co/bI83KvKfO1",positive
Wed Dec 11 16:02:17 +0000 2019,Gjallarhornet,en,"#US Officials Deny #Doctors' Request To Give Free #Flu #Vaccine To Detained #Migrants

#ConcentrationCamps… https://t.co/DXZDgMAKuf",positive
Wed Dec 11 16:00:55 +0000 2019,thehealthguy,en,"Want to not get sick this Winter? (we should be hearing a RESOUNDING CHORUS OF ""Yes"")

Turns out that #probiotics m… https://t.co/RqwFVWGeL0",negative
Wed Dec 11 16:00:06 +0000 2019,Voices4Vaccines,en,"""Can you pick me up from the birthday party"" became 90+ days in the hospital because of the #flu. @famfightflu 's S… https://t.co/XXanmrxz4P",neutral
Wed Dec 11 15:57:52 +0000 2019,HaikuHare,en,"@CSmallsWright We have all of that,
but she just had a flu shot.
Taking precautions...

#flu #haiku https://t.co/wBhO0wYDsp",neutral
Wed Dec 11 15:55:17 +0000 2019,ImperialNHS,en,"“Flu is unpredictable – some people who are perfectly healthy can end up in intensive care with influenza,” says Pr… https://t.co/XIsksNdC1C",positive
Wed Dec 11 15:55:01 +0000 2019,MuseumofNature,en,"Me and My Microbes: The Zoo Inside You opens at the museum in less than 10 days, but some of the microbes just coul… https://t.co/TDU3kKoHKl",negative
Wed Dec 11 15:53:01 +0000 2019,CornellPress,en,"The flu season is upon us! Check out our #health and #medicine list, with recommendations of #books to tackle this… https://t.co/NmfUVPLlqU",neutral
